#EXPORTTYPE:                 ;DATA ALL                   
#FILE:                       ;MoS2 NS - Sõdio.ngb-ds3    
#FORMAT:                     ;NETZSCH5                   
#FTYPE:                      ;ASCII                      
#IDENTITY:                   ;MoS2 NS - Sõdio            
#DECIMAL:                    ;COMMA                      
#SEPARATOR:                  ;SEMICOLON                  
#MTYPE:                      ;TG                         
#INSTRUMENT:                 ;NETZSCH STA 449F3          
#PROJECT:                    ;-                          
#DATE/TIME:                  ;21/11/2024 13:23:36 (UTC-3)
#CORR. FILE:                 ;Correction.ngb-bs3         
#TEMPCAL:                    ;Cal_08_2024_Ar_5C.ngb-ts3  
#SENSITIVITY:                ;---                        
#LABORATORY:                 ;Proc de Nanocerümicas      
#OPERATOR:                   ;Danilo Janes               
#REMARK:                     ;                           
#SAMPLE:                     ;MoS2 NS - Sõdio            
#SAMPLE MASS /mg:            ;12,6370                    
#MATERIAL:                   ;                           
#REFERENCE:                  ;                           
#REFERENCE MASS /mg:         ;                           
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3      
#SAMPLE CRUCIBLE MASS /mg:   ;0                          
#REFERENCE CRUCIBLE MASS /mg:;                           
#TG RANGE /mg:               ;35000                      
#TAU-R:                      ;---                        
#CORR. CODE:                 ;020                        
#EXO:                        ;-1                         
#RANGE:                      ;20oC/10,0(K/min)/1000oC    
#SEGMENT:                    ;S1/1                       
#SEG. 1:                     ;20oC/10,0(K/min)/1000oC    

##Temp./oC;Time/min;Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min)
583,80900;56,40555; 69,39272;20,00000;20,00000
585,80900;56,60522; 69,37681;20,00000;20,00000
587,80900;56,80464; 69,37175;20,00000;20,00000
589,80900;57,00420; 69,36604;20,00000;20,00000
591,80900;57,20359; 69,36219;20,00000;20,00000
593,80900;57,40315; 69,36140;20,00000;20,00000
595,80900;57,60306; 69,36061;20,00000;20,00000
597,80900;57,80327; 69,35982;20,00000;20,00000
599,80900;58,00325; 69,35903;20,00000;20,00000
601,80900;58,20358; 69,35903;20,00000;20,00000
603,80900;58,40387; 69,35903;20,00000;20,00000
605,80900;58,60364; 69,35903;20,00000;20,00000
607,80900;58,80397; 69,35823;20,00000;20,00000
609,80900;59,00429; 69,35667;20,00000;20,00000
611,80900;59,20399; 69,35556;20,00000;20,00000
613,80900;59,40406; 69,35382;20,00000;20,00000
615,80900;59,60419; 69,32071;20,00000;20,00000
617,80900;59,80441; 69,30679;20,00000;20,00000
619,80900;60,00408; 69,29726;20,00000;20,00000
621,80900;60,20348; 69,28441;20,00000;20,00000
623,80900;60,40330; 69,28619;20,00000;20,00000
625,80900;60,60317; 69,28068;20,00000;20,00000
627,80900;60,80342; 69,28148;20,00000;20,00000
629,80900;61,00306; 69,28227;20,00000;20,00000
631,80900;61,20278; 69,27945;20,00000;20,00000
633,80900;61,40291; 69,24620;20,00000;20,00000
635,80900;61,60319; 69,22187;20,00000;20,00000
637,80900;61,80301; 69,21475;20,00000;20,00000
639,80900;62,00290; 69,20313;20,00000;20,00000
641,80900;62,20329; 69,20540;20,00000;20,00000
643,80900;62,40311; 69,18651;20,00000;20,00000
645,80900;62,60300; 69,18810;20,00000;20,00000
647,80900;62,80275; 69,18969;20,00000;20,00000
649,80900;63,00270; 69,17297;20,00000;20,00000
651,80900;63,20257; 69,15918;20,00000;20,00000
653,80900;63,40223; 69,12471;20,00000;20,00000
655,80900;63,60253; 69,10952;20,00000;20,00000
657,80900;63,80281; 69,10580;20,00000;20,00000
659,80900;64,00283; 69,10245;20,00000;20,00000
661,80900;64,20306; 69,09454;20,00000;20,00000
663,80900;64,40268; 69,06918;20,00000;20,00000
665,80900;64,60227; 69,05260;20,00000;20,00000
667,80900;64,80256; 69,03437;20,00000;20,00000
669,80900;65,00280; 69,04348;20,00000;20,00000
671,80900;65,20270; 69,04574;20,00000;20,00000
673,80900;65,40208; 69,04630;20,00000;20,00000
675,80900;65,60228; 69,04487;20,00000;20,00000
677,80900;65,80204; 69,04394;20,00000;20,00000
679,80900;66,00198; 69,04174;20,00000;20,00000
681,80900;66,20211; 69,03444;20,00000;20,00000
683,80900;66,40219; 69,02351;20,00000;20,00000
685,80900;66,60228; 69,02505;20,00000;20,00000
687,80900;66,80312; 69,01398;20,00000;20,00000
689,80900;67,00378; 68,99897;20,00000;20,00000
691,80900;67,20318; 69,02036;20,00000;20,00000
693,80900;67,40230; 69,02999;20,00000;20,00000
695,80900;67,60179; 69,01001;20,00000;20,00000
697,80900;67,80154; 68,99253;20,00000;20,00000
699,80900;68,00109; 68,98314;20,00000;20,00000
701,80900;68,20102; 68,98392;20,00000;20,00000
703,80900;68,40095; 68,98552;20,00000;20,00000
